Title,Release_year,Actor
X-Men: Apocalypse,2016,Jennifer Lawrence
X-Men: Apocalypse,2016,Sophie Turner
X-Men: Apocalypse,2016,James McAvoy
X-Men: Apocalypse,2016,Olivia Munn
X-Men: Apocalypse,2016,Michael Fassbender
Inception,2010,Leonardo DiCaprio
Inception,2010,Tom Hardy
Inception,2010,Ellen Page
Inception,2010,Joseph Gordon-Levitt
Inception,2010,Marion Cotillard
Deadpool,2016,Ryan Reynolds
Deadpool,2016,Morena Baccarin
Deadpool,2016,Gina Carano
Deadpool,2016,Ed Skrein
Deadpool,2016,T. J. Miller
Finding Dory,2016,Ellen DeGeneres
Finding Dory,2016,Ty Burrel
Finding Dory,2016,Ed O'Neill
Finding Dory,2016,Albert Brooks
Finding Dory,2016,Kaitlin Olson
Ghostbusters,2016,Mellissa McCarthy
Ghostbusters,2016,Kristen Wiig
Ghostbusters,2016,Kate McKinnon
Ghostbusters,2016,Leslie Jones
Ghostbusters,2016,Chris Hemsworth
The Purge: Election Year,2016,Frank Grillo
The Purge: Election Year,2016,Elizabeth Mitchell
The Purge: Election Year,2016,Mykelti Williamson
The Purge: Election Year,2016,John Smith
The Purge: Election Year,2016,John Doe
The Legend of Tarzan,2016,Alexander Skarsgard
The Legend of Tarzan,2016,Margot Robbie
The Legend of Tarzan,2016,Christoph Waltz
The Legend of Tarzan,2016,Samuel L. Jackson
The Legend of Tarzan,2016,Djimon Hounsou
The BFG,2016,Mark Rylance
The BFG,2016,Ruby Barnhill
The BFG,2016,Bill Hader
The BFG,2016,Rebecca Hall
The BFG,2016,Jemaine Clement
The Jungle Book,2016,Scarlett Johansson
The Jungle Book,2016,Idris Elba
The Jungle Book,2016,Ben Kinglsey
The Jungle Book,2016,Lupita Nyong'o
The Jungle Book,2016,Christopher Walken
The Conjuring 2,2016,Patrick Wilson
The Conjuring 2,2016,Vera Farmiga
The Conjuring 2,2016,Madison Wolfe
The Conjuring 2,2016,Frances O'Connor
The Conjuring 2,2016,Bonnie Aarons
The Secret Life of Pets,2016,Kevin Hart
The Secret Life of Pets,2016,Jenny Slate
The Secret Life of Pets,2016,Louis C.K.
The Secret Life of Pets,2016,Eric Stonestreet
The Secret Life of Pets,2016,Lake Bell
Mike and Dave Need Wedding Dates,2016,Zac Efron
Mike and Dave Need Wedding Dates,2016,Anna Kendrick
Mike and Dave Need Wedding Dates,2016,Adam DeVine
Mike and Dave Need Wedding Dates,2016,Aubrey Plaza
Mike and Dave Need Wedding Dates,2016,Sam Richardson
Independence Day: Resurgence,2016,Jeff Goldblum
Independence Day: Resurgence,2016,Liam Hemsworth
Independence Day: Resurgence,2016,Bill Pullman
Independence Day: Resurgence,2016,Maika Monroe
Independence Day: Resurgence,2016,Jessie Usher
The Dark Knight Rises,2012,Tom Hardy
The Dark Knight Rises,2012,Anne Hathaway
The Dark Knight Rises,2012,Christian Bale
The Dark Knight Rises,2012,Joseph Gordon-Levitt
The Dark Knight Rises,2012,Marion Cotillard
Sherlock Holmes: A Game of Shadows,2011,Robert Downey Jr.
Sherlock Holmes: A Game of Shadows,2011,Jude Law
Sherlock Holmes: A Game of Shadows,2011,Noomi Rapace
Sherlock Holmes: A Game of Shadows,2011,Jared Harris
Sherlock Holmes: A Game of Shadows,2011,Stephen Fry
