Title,Release_year,Genre
X-Men: Apocalypse,2016,Fantasy
Inception,2010,Fantasy
Deadpool,2016,Comedy
Finding Dory,2016,Adventure
Ghostbusters,2016,Fantasy
The Purge: Election Year,2016,Thriller
The Legend of Tarzan,2016,Action
The BFG,2016,Fantasy
The Jungle Book,2016,Adventure
The Conjuring 2,2016,Horror
The Secret Life of Pets,2016,Fantasy
Mike and Dave Need Wedding Dates,2016,Comedy
Independence Day: Resurgence,2016,Fantasy
The Dark Knight Rises,2012,Thriller
Sherlock Holmes: A Game of Shadows,2011,Thriller
